Rank	Name	Team	Pos	Bye
1.	Ja'Marr Chase	CIN	WR	10
2.	Bijan Robinson	ATL	RB	5
3.	Saquon Barkley	PHI	RB	9
4.	Jahmyr Gibbs	DET	RB	8
5.	Justin Jefferson	MIN	WR	6
6.	CeeDee Lamb	DAL	WR	10
7.	Christian McCaffrey	SF	RB	14
8.	Puka Nacua	LAR	WR	8
9.	De'Von Achane	MIA	RB	12
10.	Malik Nabers	NYG	WR	14
11.	Nico Collins	HOU	WR	6
12.	Ashton Jeanty	LV	RB	8
13.	Derrick Henry	BAL	RB	7
14.	Amon-Ra St. Brown	DET	WR	8
15.	Brian Thomas Jr.	JAX	WR	8
16.	Josh Jacobs	GB	RB	5
17.	Drake London	ATL	WR	5
18.	A.J. Brown	PHI	WR	9
19.	Jonathan Taylor	IND	RB	11
20.	Bucky Irving	TB	RB	9
21.	Kyren Williams	LAR	RB	8
22.	Tee Higgins	CIN	WR	10
23.	Lamar Jackson	BAL	QB	7
24.	Chase Brown	CIN	RB	10
25.	Ladd McConkey	LAC	WR	12
26.	Tyreek Hill	MIA	WR	12
27.	Josh Allen	BUF	QB	7
28.	Alvin Kamara	NO	RB	11
29.	Davante Adams	LAR	WR	8
30.	Brock Bowers	LV	TE	8
31.	Joe Burrow	CIN	QB	10
32.	Mike Evans	TB	WR	9
33.	Trey McBride	ARI	TE	8
34.	Jayden Daniels	WAS	QB	12
35.	James Cook	BUF	RB	7
36.	Breece Hall	NYJ	RB	9
37.	Jaxon Smith-Njigba	SEA	WR	8
38.	Marvin Harrison Jr.	ARI	WR	8
39.	Kenneth Walker III	SEA	RB	8
40.	James Conner	ARI	RB	8
41.	Terry McLaurin	WAS	WR	12
42.	Garrett Wilson	NYJ	WR	9
43.	Chuba Hubbard	CAR	RB	14
44.	DJ Moore	CHI	WR	5
45.	DK Metcalf	PIT	WR	5
46.	Jalen Hurts	PHI	QB	9
47.	Omarion Hampton	LAC	RB	12
48.	DeVonta Smith	PHI	WR	9
49.	Courtland Sutton	DEN	WR	12
50.	George Kittle	SF	TE	14
51.	Xavier Worthy	KC	WR	10
52.	Zay Flowers	BAL	WR	7
53.	Jerry Jeudy	CLE	WR	9
54.	Baker Mayfield	TB	QB	9
55.	Patrick Mahomes	KC	QB	10
56.	Calvin Ridley	TEN	WR	10
57.	Tetairoa McMillan	CAR	WR	14
58.	Jakobi Meyers	LV	WR	8
59.	George Pickens	DAL	WR	10
60.	Jaylen Waddle	MIA	WR	12
61.	D'Andre Swift	CHI	RB	5
62.	Tony Pollard	TEN	RB	10
63.	David Montgomery	DET	RB	8
64.	Jameson Williams	DET	WR	8
65.	Aaron Jones	MIN	RB	6
66.	TreVeyon Henderson	NE	RB	14
67.	Travis Hunter	JAX	WR	8
68.	Deebo Samuel Sr.	WAS	WR	12
69.	Chris Olave	NO	WR	11
70.	Jauan Jennings	SF	WR	14
71.	Rashee Rice	KC	WR	10
72.	RJ Harvey	DEN	RB	12
73.	Stefon Diggs	NE	WR	14
74.	Chris Godwin	TB	WR	9
75.	Khalil Shakir	BUF	WR	7
76.	Rome Odunze	CHI	WR	5
77.	Bo Nix	DEN	QB	12
78.	Isiah Pacheco	KC	RB	10
79.	Brock Purdy	SF	QB	14
80.	Joe Mixon	HOU	RB	6
81.	Jayden Reed	GB	WR	5
82.	Kaleb Johnson	PIT	RB	5
83.	Sam LaPorta	DET	TE	8
84.	Jaylen Warren	PIT	RB	5
85.	Matthew Golden	GB	WR	5
86.	Kyler Murray	ARI	QB	8
87.	Cooper Kupp	SEA	WR	8
88.	Tyrone Tracy Jr.	NYG	RB	14
89.	Brian Robinson Jr.	WAS	RB	12
90.	Travis Kelce	KC	TE	10
91.	Dak Prescott	DAL	QB	10
92.	Michael Pittman Jr.	IND	WR	11
93.	Darnell Mooney	ATL	WR	5
94.	T.J. Hockenson	MIN	TE	6
95.	Jordan Addison	MIN	WR	6
96.	Ricky Pearsall	SF	WR	14
97.	Josh Downs	IND	WR	11
98.	Rashid Shaheed	NO	WR	11
99.	David Njoku	CLE	TE	9
100.	Jared Goff	DET	QB	8
101.	Dallas Defense	DAL	DEF	10
102.	Keon Coleman	BUF	WR	7
103.	Caleb Williams	CHI	QB	5
104.	Justin Fields	NYJ	QB	9
105.	Justin Herbert	LAC	QB	12
106.	Mark Andrews	BAL	TE	7
107.	J.J. McCarthy	MIN	QB	6
108.	NY Giants Defense	NYG	DEF	14
109.	J.K. Dobbins	DEN	RB	12
110.	Keenan Allen	LAC	WR	12
111.	Adam Thielen	CAR	WR	14
112.	Jordan Love	GB	QB	5
113.	Denver Defense	DEN	DEF	12
114.	Cedric Tillman	CLE	WR	9
115.	Evan Engram	DEN	TE	12
116.	Marquise Brown	KC	WR	10
117.	Wan'Dale Robinson	NYG	WR	14
118.	Philadelphia Defense	PHI	DEF	9
119.	Jake Ferguson	DAL	TE	10
120.	Tucker Kraft	GB	TE	5
121.	Pittsburgh Defense	PIT	DEF	5
122.	Baltimore Defense	BAL	DEF	7
123.	Buffalo Defense	BUF	DEF	7
124.	C.J. Stroud	HOU	QB	6
125.	Marvin Mims Jr.	DEN	WR	12
126.	Emeka Egbuka	TB	WR	9
127.	Austin Ekeler	WAS	RB	12
128.	Christian Kirk	HOU	WR	6
129.	Houston Defense	HOU	DEF	6
130.	Drake Maye	NE	QB	14
